RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,Marital Status,Income,Education Level,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,28634602,619,Perth,Female,42,2,0,Divorced,84256.33,High School,1,1,1,101348.88,1
2,28647311,608,Melborne,Female,41,1,83807.86,Married,18835.46,Diploma,1,0,1,112542.58,0
3,28619304,502,Perth,Female,42,8,159660.8,Single,49099.61,Diploma,3,1,0,113931.57,1
4,28701354,699,Perth,Female,39,1,0,Divorced,78133.84,Masters,2,0,0,93826.63,0
5,28737888,850,Melborne,Female,43,2,125510.82,Single,79712.19,Bachelors,1,1,1,79084.1,0
6,28574012,645,Melborne,Male,44,8,113755.78,Divorced,68642.46,High School,2,1,0,149756.71,1
7,28592531,822,Perth,Male,50,7,0,Divorced,87586.59,Bachelors,2,1,1,10062.8,0
8,28656148,376,Brisbane,Female,29,4,115046.74,Divorced,55537.46,Masters,4,1,0,119346.88,1
9,28792365,,Perth,Male,44,4,142051.07,Divorced,83466.84,Masters,2,0,1,74940.5,0
10,28592389,,Perth,Male,27,2,134603.88,Single,52401.25,Masters,1,1,1,71725.73,0
11,28767821,528,Perth,Male,31,6,102016.72,Divorced,11514.02,Bachelors,2,0,0,80181.12,0
12,28737173,497,Melborne,Male,24,3,0,Married,51150.78,Bachelors,2,1,0,76390.01,0
13,28632264,476,Perth,Female,34,10,0,Single,34289.21,Bachelors,2,1,0,26260.98,0
14,28691483,549,Perth,Female,25,5,0,Married,52778.8,Diploma,2,0,0,190857.79,0
15,28600882,635,Melborne,Female,35,7,0,Married,66959.81,High School,2,1,1,65951.65,0
16,28643966,616,Brisbane,Male,,3,143129.41,Single,22156.4,Bachelors,2,0,1,64327.26,0
17,28737452,653,Brisbane,Male,,1,132602.88,Single,66341.34,Masters,1,1,0,5097.67,1
18,28788218,549,Melborne,Female,24,9,0,Single,89997.19,Bachelors,2,1,1,14406.41,0
19,28662807,587,Melborne,Male,45,6,0,Single,33530.12,Masters,1,0,0,158684.81,0
20,28568982,726,Perth,Female,24,6,0,Single,64698.46,High School,2,1,1,54724.03,0
21,28577657,732,Perth,Male,41,8,0,Single,58186.87,Bachelors,2,1,1,170886.17,0
22,28597945,636,Melborne,Female,32,8,0,Divorced,60971.43,Bachelors,2,1,0,138555.46,0
23,28699309,510,Melborne,Female,38,4,0,Single,53366.42,High School,1,1,0,118913.53,1
24,28725737,669,Perth,Male,46,3,0,Married,94003.47,Diploma,2,0,1,8487.75,0
25,28625047,846,Perth,Female,38,5,0,Single,11320.51,Bachelors,1,1,1,187616.16,0
26,28738191,577,Perth,Male,25,3,0,Single,27630.39,Bachelors,2,0,1,124508.29,0
27,28736816,756,Brisbane,Male,36,2,136815.64,Single,19134.72,Diploma,1,1,1,170041.95,0
28,28700772,571,Perth,Male,44,9,0,Divorced,10338.41,Masters,2,0,0,38433.35,0
29,28728693,574,Brisbane,Female,43,3,141349.43,Married,26510.32,High School,1,1,1,100187.43,0
30,28656300,411,Perth,Male,29,0,59697.17,Single,57796.83,Bachelors,2,1,1,53483.21,0
31,28589475,591,Melborne,Female,39,3,0,Single,77163.78,Masters,,1,0,140469.38,1
32,28706552,533,Perth,Male,36,7,85311.7,Married,94231.26,Bachelors,1,0,1,156731.91,0
33,28750181,553,Brisbane,Male,41,9,110112.54,Married,85014.88,Diploma,2,0,0,81898.81,0
34,28659428,520,Melborne,Female,42,6,0,Divorced,29579.57,Masters,2,1,1,34410.55,0
35,28732963,722,Melborne,Female,29,9,0,Married,15672.31,Bachelors,2,1,1,142033.07,0
36,28794171,,Perth,Female,45,0,134264.04,Married,35226.77,Masters,1,1,0,27822.99,1
37,28788448,,Melborne,Male,31,3,145260.23,Married,67637.96,Bachelors,1,0,1,114066.77,0
38,28729599,804,Melborne,Male,33,7,76548.6,Divorced,88689.37,Bachelors,1,0,1,98453.45,0
39,28717426,850,Perth,Male,36,7,0,Single,53974.28,Bachelors,1,1,1,40812.9,0
40,28585768,582,Brisbane,Male,41,6,70349.48,Single,97780.05,Masters,2,0,1,178074.04,0
41,28619360,472,Melborne,Male,40,4,0,Married,7138.99,Masters,1,1,0,70154.22,0
42,28738148,465,Perth,Female,51,8,122522.32,Married,38141.38,Masters,1,0,0,181297.65,1
43,28687946,556,Perth,Female,61,2,117419.35,Married,76015.5,High School,1,1,1,94153.83,0
44,28755196,834,Perth,Female,49,2,131394.56,Divorced,48792.52,Diploma,1,0,0,194365.76,1
45,28684171,660,Melborne,Female,61,5,155931.11,Married,82086.93,Masters,1,1,1,158338.39,0
46,28754849,776,Brisbane,Female,32,4,109421.13,Married,90957.16,High School,2,1,1,126517.46,0
47,28602280,829,Brisbane,Female,27,9,112045.67,Single,73838.55,Masters,1,1,1,119708.21,1
48,28772873,637,Brisbane,Female,39,9,137843.8,Divorced,12025.13,High School,1,1,1,117622.8,1
49,28766205,550,Brisbane,Male,38,2,103391.38,Single,32585.57,Diploma,1,0,1,90878.13,0
50,28771873,776,Brisbane,Female,37,2,103769.22,Married,37117.93,Bachelors,2,1,0,194099.12,0
51,28616550,698,Brisbane,Male,44,10,116363.37,Divorced,8762.73,Bachelors,2,1,0,198059.16,0
52,28768193,585,Brisbane,Male,36,5,146050.97,Married,86860.84,Masters,2,0,0,86424.57,0
53,28683553,788,Perth,Female,33,5,0,Divorced,33379.45,Masters,2,0,0,116978.19,0
54,28702298,655,Brisbane,Male,41,8,125561.97,Single,53341.76,Bachelors,1,0,0,164040.94,1
55,28569590,601,Brisbane,Male,42,1,98495.72,Married,43543.59,Masters,1,1,0,40014.76,1
56,28760861,619,Perth,Male,43,1,125211.92,Divorced,20129.95,Masters,1,1,1,113410.49,0
57,28630053,656,Perth,Male,45,5,127864.4,Married,93566.7,Diploma,1,1,0,87107.57,0
58,28647091,725,Brisbane,Male,19,0,75888.2,Single,28375.58,Diploma,1,0,0,45613.75,0
59,28623944,511,Melborne,Female,66,4,0,Single,60328.37,Diploma,1,1,0,1643.11,1
60,28804771,614,Perth,Male,51,4,40685.92,Married,54190.02,Masters,1,1,1,46775.28,0
61,28651280,742,Brisbane,Male,35,5,136857,Divorced,83484.42,High School,1,0,0,84509.57,0
62,28773469,687,Brisbane,Female,27,9,152328.88,Single,9794.01,High School,2,0,0,126494.82,0
63,28702014,555,Melborne,Male,33,1,56084.69,Single,8101.88,Bachelors,2,0,0,178798.13,0
64,28751208,684,Melborne,Male,56,8,78707.16,Divorced,69963.6,High School,1,1,1,99398.36,0
65,28592461,603,Brisbane,Male,26,4,109166.37,Divorced,34166.19,Diploma,1,1,1,92840.67,0
66,28789484,751,Brisbane,Female,36,6,169831.46,Divorced,8325.31,Masters,2,1,1,27758.36,0
67,28696061,581,Brisbane,Female,34,1,101633.04,Married,63973.9,Bachelors,1,1,0,110431.51,0
68,28642882,735,Brisbane,Male,43,10,123180.01,Divorced,55822.41,Masters,2,1,1,196673.28,0
69,28638424,661,Brisbane,Female,35,5,150725.53,Married,65283.52,Diploma,2,0,1,113656.85,0
70,28755648,675,Perth,Female,21,8,98373.26,Divorced,91954.63,Bachelors,1,1,0,18203,0
71,28703793,,Brisbane,Male,58,2,133745.44,Single,73837.84,Bachelors,4,1,0,28373.86,1
72,28620344,813,Perth,Male,29,6,0,Single,97114.64,Diploma,1,1,0,33953.87,0
73,28812518,657,Melborne,Female,37,0,163607.18,Single,91952.65,Masters,1,0,1,44203.55,0
74,28779052,604,Brisbane,Female,25,5,157780.84,Married,22566.39,Masters,2,1,1,58426.81,0
75,28770811,519,Perth,Male,36,9,0,Married,28087.78,High School,2,0,1,145562.4,0
76,28780961,735,Perth,Female,21,1,178718.19,Married,66733.54,High School,2,1,0,22388,0
77,28614049,664,Perth,Male,55,8,0,Married,12527.04,Bachelors,2,1,1,139161.64,0
78,28662085,678,Perth,Female,32,9,0,Single,96643.05,Bachelors,1,1,1,148210.64,0
79,28575185,757,Melborne,Male,33,5,77253.22,Married,53699.87,Diploma,1,0,1,194239.63,0
80,28803136,416,Brisbane,Female,41,10,122189.66,Married,31186.83,Diploma,2,1,0,98301.61,0
81,28706021,665,Perth,Female,34,1,96645.54,Single,5315.33,Masters,2,0,0,171413.66,0
82,28663706,777,Perth,Female,32,2,0,Divorced,99794.3,Diploma,1,1,0,136458.19,1
83,28641732,543,Perth,Female,36,3,0,Divorced,46540.2,High School,2,0,0,26019.59,0
84,28701164,506,Perth,Female,34,4,90307.62,Single,19596.9,High School,1,1,1,159235.29,0
85,28738751,493,Perth,Female,46,4,0,Divorced,5861.4,Diploma,2,1,0,1907.66,0
86,28805254,652,Melborne,Female,75,10,0,Single,5810.21,Diploma,2,1,1,114675.75,0
87,28762418,750,Melborne,Male,22,3,121681.82,Married,71570.33,Masters,1,1,0,128643.35,1
88,28625759,729,Perth,Male,30,9,0,Married,57812.17,Bachelors,2,1,0,151869.35,0
89,28622897,646,Perth,Female,46,4,0,Divorced,86359.38,Masters,3,1,0,93251.42,1
90,28767954,635,Brisbane,Female,28,3,81623.67,Divorced,98788.64,Diploma,2,1,1,156791.36,0
91,28757535,647,Melborne,Female,44,5,0,Divorced,5107.53,Masters,3,1,1,174205.22,1
92,28732811,808,Perth,Male,45,7,118626.55,Married,22767.86,Bachelors,2,1,0,147132.46,0
93,28809248,524,Perth,Female,36,10,0,Single,88492.34,Masters,2,1,0,109614.57,0
94,28640635,769,Perth,Male,29,8,0,Divorced,78703.2,Bachelors,2,1,1,172290.61,0
95,28676966,730,Melborne,Male,42,4,0,Married,38303.89,Bachelors,2,0,1,85982.47,0
96,28699461,515,Melborne,Male,35,10,176273.95,Single,70425.23,Bachelors,1,0,1,121277.78,0
97,28738721,773,Melborne,Male,41,9,102827.44,Single,85090.61,Diploma,1,0,1,64595.25,0
98,28693683,814,Brisbane,Male,29,8,97086.4,Divorced,41341.88,Bachelors,2,1,1,197276.13,0
99,28604348,710,Melborne,Male,22,8,0,Married,71090.17,Masters,2,0,0,99645.04,0
100,28633059,413,Perth,Male,34,9,0,Single,52106.95,Masters,2,0,0,6534.18,0
101,28808582,665,Perth,Female,40,6,0,Married,87413.91,Bachelors,1,1,1,161848.03,0
102,28743192,623,Perth,Female,44,6,0,Single,68827.04,Diploma,2,0,0,167162.43,0
103,28580146,,Perth,Male,31,9,82674.15,Married,28820.66,Masters,1,1,0,41970.72,0
104,28776605,,Melborne,Male,36,7,0,Married,58213.22,Diploma,2,1,0,60536.56,0
105,28804919,670,Melborne,Female,65,1,0,Divorced,20573,Masters,1,1,1,177655.68,1
106,28613854,622,Melborne,Female,46,4,107073.27,Married,86375.72,Diploma,2,1,1,30984.59,1
107,28599195,582,Brisbane,Male,32,1,88938.62,Divorced,25989.33,Bachelors,1,1,1,10054.53,0
108,28812878,785,Brisbane,Female,36,2,99806.85,Married,18698.48,Bachelors,1,0,1,36976.52,0
109,28602312,605,Melborne,Male,33,5,150092.8,Single,31058.11,Bachelors,1,0,0,71862.79,0
110,28744689,479,Brisbane,Male,35,9,92833.89,Divorced,56382.77,Bachelors,1,1,0,99449.86,1
111,28803526,685,Brisbane,Male,30,3,90536.81,Married,13032.14,Masters,1,0,1,63082.88,0
112,28665790,538,Brisbane,Male,39,7,108055.1,Single,69070.24,Bachelors,2,1,0,27231.26,0
113,28728951,562,Perth,Male,42,2,100238.35,Single,91238.25,Masters,1,0,0,86797.41,0
114,28591100,675,Melborne,Male,36,9,106190.55,Married,47275.93,Diploma,1,0,1,22994.32,0
115,28609618,721,Brisbane,Male,28,9,154475.54,Divorced,92281.01,Bachelors,2,0,1,101300.94,1
116,28675522,628,Brisbane,Female,30,9,132351.29,Single,87081.17,Bachelors,2,1,1,74169.13,0
117,28705512,668,Brisbane,Female,37,6,167864.4,Divorced,41261.56,Bachelors,1,1,0,115638.29,0
118,28698028,506,Perth,Female,41,1,0,Divorced,45149.02,Masters,2,1,0,31766.3,0
119,28661670,524,Brisbane,Female,31,8,107818.63,Divorced,80533.08,Bachelors,1,1,0,199725.39,1
120,28600781,699,Brisbane,Male,34,4,185173.81,Divorced,87120.21,Bachelors,2,1,0,120834.48,0
121,28682472,828,Perth,Male,34,8,129433.34,Married,53150.4,Bachelors,2,0,0,38131.77,0
122,28580203,674,Melborne,Male,39,6,120193.42,Single,18909.01,Bachelors,1,0,0,100130.95,0
123,28690673,656,Perth,Female,39,6,0,Single,76861.38,Masters,2,1,0,141069.88,0
124,28760085,684,Brisbane,Female,48,10,126384.42,Married,15234.85,Diploma,1,1,1,198129.36,0
125,28779659,625,Perth,Female,28,3,0,Divorced,68821.39,Bachelors,1,0,0,183646.41,0
126,28627360,432,Perth,Male,42,9,152603.45,Married,51268.21,Diploma,1,1,0,110265.24,1
127,28671137,549,Perth,Female,52,1,0,Single,39864.44,Masters,1,0,1,8636.05,1
128,28782688,625,Brisbane,Male,56,0,148507.24,Married,56103.97,Masters,1,1,0,46824.08,1
129,28575492,828,Perth,Female,41,7,0,Divorced,85072.37,Diploma,2,1,0,171378.77,0
130,28591607,770,Perth,Male,24,9,101827.07,Married,81867.06,Diploma,1,1,0,167256.35,0
131,28740404,758,Perth,Female,34,3,0,Divorced,13347.53,Bachelors,2,1,1,124226.16,0
132,28718369,795,Brisbane,Female,33,9,130862.43,Divorced,63827.86,Bachelors,1,1,1,114935.21,0
133,28677871,687,Perth,Male,38,9,122570.87,Married,26779.9,Bachelors,1,1,1,35608.88,0
134,28642004,686,Perth,Male,25,1,0,Single,95604.42,Diploma,2,0,1,16459.37,0
135,28712543,789,Brisbane,Male,39,7,124828.46,Divorced,91759.64,Bachelors,2,1,1,124411.08,0
136,28584518,589,Brisbane,Female,50,5,144895.05,Divorced,57696.47,Bachelors,2,1,1,34941.23,0
137,28802381,461,Brisbane,Female,34,5,63663.93,Single,79830.49,Bachelors,1,0,1,167784.28,0
138,28610286,637,Perth,Male,40,2,133463.1,Married,47009.51,Bachelors,1,0,1,93165.34,0
139,28594408,584,Melborne,Female,48,2,213146.2,Single,53341.28,Bachelors,1,1,0,75161.25,1
140,28640905,579,Melborne,Female,35,1,129490.36,Single,42433.35,Bachelors,2,0,1,8590.83,1
141,28698932,756,Brisbane,Male,44,10,137452.09,Single,98811.59,Bachelors,1,1,0,189543.9,0
142,28724944,,Perth,Male,34,7,0,Divorced,9221.24,Masters,2,1,1,180427.24,0
143,28628145,682,Perth,Female,43,5,125851.93,Married,92206.96,Bachelors,1,1,1,193318.33,0
144,28713483,793,Melborne,Male,52,2,0,Married,58611.3,Bachelors,1,1,0,159123.82,1
145,28612350,691,Perth,Female,31,5,40915.55,Divorced,23895.99,Bachelors,1,1,0,126213.84,1
146,28800703,485,Melborne,Female,21,5,113157.22,Married,13069.38,Bachelors,1,1,1,54141.5,0
147,28705707,635,Melborne,Female,29,8,138296.94,Divorced,47584.49,Masters,2,1,0,141075.51,0
148,28754105,650,Perth,Male,37,5,106967.18,Married,59520.24,Masters,1,0,0,24495.03,0
149,28703264,735,Perth,Male,44,9,120681.63,Divorced,14252.46,Diploma,1,1,0,74836.34,0
150,28794413,416,Perth,Male,32,0,0,Single,69201.51,Bachelors,2,0,1,878.87,0
151,28650237,754,Melborne,Female,32,7,0,Married,7742.39,Masters,2,1,0,89520.75,0
152,28759618,535,Perth,Female,48,9,0,Married,75203.38,Diploma,1,1,0,149892.79,1
153,28812889,716,Melborne,Male,42,8,0,Single,24415.18,Diploma,2,1,0,180800.42,0
154,28689044,539,Perth,Male,37,2,127609.59,Married,68264.34,Masters,1,1,0,98646.22,0
155,28709368,614,Perth,Female,43,6,0,Divorced,22477.08,Diploma,2,1,1,109041.53,0
156,28679145,706,Melborne,Male,57,7,0,Divorced,33477.49,Bachelors,1,1,0,17941.16,1
157,28655007,758,Perth,Female,33,7,0,Married,20145.74,Diploma,2,0,0,82996.47,0
158,28623595,586,Melborne,Female,28,2,0,Single,52935.25,Bachelors,2,1,1,92067.35,0
159,28589975,646,Perth,Female,73,6,97259.25,Single,70817.68,Bachelors,1,0,1,104719.66,0
160,28804017,631,Brisbane,Female,33,4,123246.7,Divorced,57864.6,Masters,1,0,0,112687.57,0
161,28692132,717,Melborne,Female,22,6,101060.25,Divorced,14907.77,Masters,1,0,1,84699.56,0
162,28641122,684,Perth,Male,30,2,0,Single,72362.11,Diploma,2,1,0,83473.82,0
163,28630910,800,Perth,Female,49,7,108007.36,Married,52592.65,Bachelors,1,0,0,47125.11,0
164,28680772,721,Melborne,Female,36,2,0,Divorced,52471.41,Bachelors,2,1,1,106977.8,0
165,28658929,683,Melborne,Male,29,0,133702.89,Married,61038.11,Bachelors,1,1,0,55582.54,1
166,28585388,660,Brisbane,Male,31,9,125189.75,Divorced,51397.88,Bachelors,2,1,1,139874.43,0
167,28724623,704,Brisbane,Female,24,7,113034.22,Single,66344.65,Bachelors,1,1,0,162503.48,1
168,28588537,615,Melborne,Female,41,9,109013.23,Single,34947.78,Masters,1,1,0,196499.96,0
169,28574692,667,Melborne,Female,39,2,0,Married,88216.79,Bachelors,2,1,0,40721.24,1
170,28611325,682,Brisbane,Male,24,9,57929.81,Single,57336.8,Bachelors,2,0,0,53134.3,0
171,28587562,484,Perth,Female,29,4,130114.39,Married,12123.52,Bachelors,1,1,0,164017.89,0
172,28613172,628,Brisbane,Male,27,5,95826.49,Divorced,99232.96,Bachelors,2,1,0,155996.96,0
173,28651022,480,Brisbane,Male,44,10,129608.57,Divorced,36707.44,Masters,1,1,0,5472.7,1
174,28586310,578,Perth,Male,30,4,169462.09,Divorced,47479.28,Bachelors,1,1,0,112187.11,0
175,28625524,512,Perth,Male,40,5,0,Single,72310.62,Masters,2,1,1,146457.83,0
176,28755209,484,Melborne,Female,35,7,133868.21,Married,76240.93,Masters,1,1,1,27286.1,0
177,28645248,510,Perth,Female,30,0,0,Divorced,41648.59,Diploma,2,1,1,130553.47,0
178,28790355,606,Brisbane,Male,36,5,190479.48,Married,77104.23,Diploma,2,0,0,179351.89,0
179,28762628,597,Melborne,Female,40,8,101993.12,Married,99600.49,Diploma,1,0,1,94774.12,0
180,28625426,754,Brisbane,Female,55,3,161608.81,Divorced,59204.56,Diploma,1,1,0,8080.85,1
